model_name,threshold,roc_auc,pr_auc,accuracy,precision,recall,f1,fpr,tp,tn,fp,fn
Model A (Champion 23 Feats),0.35,0.8706,0.6932,0.5085,0.2032,0.9083,0.3320,0.5536,733,2318,2875,74
Model A (Champion 23 Feats),0.40,0.8706,0.6932,0.6850,0.2807,0.8587,0.4231,0.3420,693,3417,1776,114
Model A (Champion 23 Feats),0.45,0.8706,0.6932,0.7218,0.3055,0.8389,0.4479,0.2964,677,3654,1539,130
Model A (Champion 23 Feats),0.50,0.8706,0.6932,0.7507,0.3277,0.8116,0.4669,0.2588,655,3849,1344,152
Model A (Champion 23 Feats),0.55,0.8706,0.6932,0.8512,0.4671,0.7559,0.5774,0.1340,610,4497,696,197
Model A (Champion 23 Feats),0.60,0.8706,0.6932,0.8660,0.5013,0.7224,0.5919,0.1117,583,4613,580,224
Model B (Equipment Context),0.35,0.8790,0.7142,0.4667,0.1919,0.9232,0.3177,0.6043,745,2055,3138,62
Model B (Equipment Context),0.40,0.8790,0.7142,0.6593,0.2651,0.8649,0.4058,0.3726,698,3258,1935,109
Model B (Equipment Context),0.45,0.8790,0.7142,0.7170,0.3019,0.8414,0.4444,0.3023,679,3623,1570,128
Model B (Equipment Context),0.50,0.8790,0.7142,0.7422,0.3207,0.8203,0.4612,0.2700,662,3791,1402,145
Model B (Equipment Context),0.55,0.8790,0.7142,0.8383,0.4417,0.7658,0.5603,0.1504,618,4412,781,189
Model B (Equipment Context),0.60,0.8790,0.7142,0.8647,0.4979,0.7323,0.5928,0.1148,591,4597,596,216
Model C (Full Context),0.35,0.8804,0.7272,0.4600,0.1905,0.9281,0.3162,0.6127,749,2011,3182,58
Model C (Full Context),0.40,0.8804,0.7272,0.6113,0.2407,0.8773,0.3778,0.4300,708,2960,2233,99
Model C (Full Context),0.45,0.8804,0.7272,0.6893,0.2821,0.8476,0.4233,0.3353,684,3452,1741,123
Model C (Full Context),0.50,0.8804,0.7272,0.7278,0.3086,0.8253,0.4492,0.2873,666,3701,1492,141
Model C (Full Context),0.55,0.8804,0.7272,0.8025,0.3845,0.7794,0.5149,0.1939,629,4186,1007,178
Model C (Full Context),0.60,0.8804,0.7272,0.8470,0.4579,0.7472,0.5678,0.1375,603,4479,714,204
