component_id,lot_id,manufacturer,component_family,component_type,package,burn_in_hour,temperature_c,voltage_v,iddq,ileak,tpd,vth,health_state,defect_type,anomaly_label,failure_label,source_type,source_dataset,generation_method,generation_version
COMP-SYN-039-001,LOT-SYN-039,ISRO_MOCK,CMOS_LOGIC,HEX_INVERTER,CERAMIC_FP,0,125,1.5,1963.5,296.398,185.8,0.0,HEALTHY,NONE,0,1,synthetic,semiconductor_synthetic,physics_RD_power_law,0.1
COMP-SYN-039-001,LOT-SYN-039,ISRO_MOCK,CMOS_LOGIC,HEX_INVERTER,CERAMIC_FP,24,125,1.5,1984.423,301.406,194.38,0.1452,HEALTHY,NONE,0,1,synthetic,semiconductor_synthetic,physics_RD_power_law,0.1
COMP-SYN-039-001,LOT-SYN-039,ISRO_MOCK,CMOS_LOGIC,HEX_INVERTER,CERAMIC_FP,96,125,1.5,1973.331,296.215,198.46,0.1916,HEALTHY,NONE,0,1,synthetic,semiconductor_synthetic,physics_RD_power_law,0.1
COMP-SYN-039-001,LOT-SYN-039,ISRO_MOCK,CMOS_LOGIC,HEX_INVERTER,CERAMIC_FP,168,125,1.5,1996.532,292.565,198.5,0.2143,HEALTHY,NONE,0,1,synthetic,semiconductor_synthetic,physics_RD_power_law,0.1
COMP-SYN-039-002,LOT-SYN-039,ISRO_MOCK,CMOS_LOGIC,HEX_INVERTER,CERAMIC_FP,0,125,1.5,2115.429,298.89,191.17,0.0,HEALTHY,NONE,0,1,synthetic,semiconductor_synthetic,physics_RD_power_law,0.1
COMP-SYN-039-002,LOT-SYN-039,ISRO_MOCK,CMOS_LOGIC,HEX_INVERTER,CERAMIC_FP,24,125,1.5,2065.538,299.45,201.69,0.1452,HEALTHY,NONE,0,1,synthetic,semiconductor_synthetic,physics_RD_power_law,0.1
COMP-SYN-039-002,LOT-SYN-039,ISRO_MOCK,CMOS_LOGIC,HEX_INVERTER,CERAMIC_FP,96,125,1.5,2119.84,297.538,203.65,0.1916,HEALTHY,NONE,0,1,synthetic,semiconductor_synthetic,physics_RD_power_law,0.1
COMP-SYN-039-002,LOT-SYN-039,ISRO_MOCK,CMOS_LOGIC,HEX_INVERTER,CERAMIC_FP,168,125,1.5,2079.672,298.907,207.73,0.2143,HEALTHY,NONE,0,1,synthetic,semiconductor_synthetic,physics_RD_power_law,0.1
COMP-SYN-039-003,LOT-SYN-039,ISRO_MOCK,CMOS_LOGIC,HEX_INVERTER,CERAMIC_FP,0,125,1.5,1984.549,295.392,184.88,0.0,HEALTHY,NONE,0,1,synthetic,semiconductor_synthetic,physics_RD_power_law,0.1
COMP-SYN-039-003,LOT-SYN-039,ISRO_MOCK,CMOS_LOGIC,HEX_INVERTER,CERAMIC_FP,24,125,1.5,1966.086,289.124,194.4,0.1452,HEALTHY,NONE,0,1,synthetic,semiconductor_synthetic,physics_RD_power_law,0.1
COMP-SYN-039-003,LOT-SYN-039,ISRO_MOCK,CMOS_LOGIC,HEX_INVERTER,CERAMIC_FP,96,125,1.5,1911.375,286.509,192.45,0.1916,HEALTHY,NONE,0,1,synthetic,semiconductor_synthetic,physics_RD_power_law,0.1
COMP-SYN-039-003,LOT-SYN-039,ISRO_MOCK,CMOS_LOGIC,HEX_INVERTER,CERAMIC_FP,168,125,1.5,1923.027,286.313,196.64,0.2143,HEALTHY,NONE,0,1,synthetic,semiconductor_synthetic,physics_RD_power_law,0.1
COMP-SYN-039-004,LOT-SYN-039,ISRO_MOCK,CMOS_LOGIC,HEX_INVERTER,CERAMIC_FP,0,125,1.5,1929.545,298.176,198.48,0.0,HEALTHY,NONE,0,1,synthetic,semiconductor_synthetic,physics_RD_power_law,0.1
COMP-SYN-039-004,LOT-SYN-039,ISRO_MOCK,CMOS_LOGIC,HEX_INVERTER,CERAMIC_FP,24,125,1.5,1933.554,296.667,199.65,0.1452,HEALTHY,NONE,0,1,synthetic,semiconductor_synthetic,physics_RD_power_law,0.1
COMP-SYN-039-004,LOT-SYN-039,ISRO_MOCK,CMOS_LOGIC,HEX_INVERTER,CERAMIC_FP,96,125,1.5,1903.719,290.477,204.68,0.1916,HEALTHY,NONE,0,1,synthetic,semiconductor_synthetic,physics_RD_power_law,0.1
COMP-SYN-039-004,LOT-SYN-039,ISRO_MOCK,CMOS_LOGIC,HEX_INVERTER,CERAMIC_FP,168,125,1.5,1921.404,291.866,207.2,0.2143,HEALTHY,NONE,0,1,synthetic,semiconductor_synthetic,physics_RD_power_law,0.1
COMP-SYN-039-005,LOT-SYN-039,ISRO_MOCK,CMOS_LOGIC,HEX_INVERTER,CERAMIC_FP,0,125,1.5,2036.926,310.606,175.82,0.0,HEALTHY,NONE,0,1,synthetic,semiconductor_synthetic,physics_RD_power_law,0.1
COMP-SYN-039-005,LOT-SYN-039,ISRO_MOCK,CMOS_LOGIC,HEX_INVERTER,CERAMIC_FP,24,125,1.5,1970.396,309.518,188.51,0.1452,HEALTHY,NONE,0,1,synthetic,semiconductor_synthetic,physics_RD_power_law,0.1
COMP-SYN-039-005,LOT-SYN-039,ISRO_MOCK,CMOS_LOGIC,HEX_INVERTER,CERAMIC_FP,96,125,1.5,1973.265,305.073,194.1,0.1916,HEALTHY,NONE,0,1,synthetic,semiconductor_synthetic,physics_RD_power_law,0.1
