test_id,lot_id,wafer_id,die_id,equipment_id,test_station,test_cycle,burn_in_hour,die_row,die_col,r_norm,supply_voltage,output_voltage,current,leakage_current,resistance,capacitance,threshold_voltage,frequency,propagation_delay,setup_time,hold_time,timing_margin,temperature,dynamic_power,total_power,test_duration,voltage_headroom,voltage_utilization,leakage_fraction,power_per_current,normalized_timing_margin,frequency_delay_product,thermal_delta,effective_drive_current,rc_delay,timing_slack,dynamic_power_per_freq,leakage_temperature_interaction,result,defect_type,is_anomaly,is_unknown_anomaly,is_borderline,is_latent,dataset_version,generator_version,source_type,eq_EQP-101,eq_EQP-102,eq_EQP-103,eq_EQP-104,eq_EQP-105
TST-0000004,LOT-004,WFR-004-01,DIE-R21C39,EQP-104,STN-01,1,0.0,-9,9,0.4243,1.1788,1.1396,45.8784,122.5485,15.1324,4.7021,0.5185,2195.98,13.9685,0.8674,0.4109,3.4278,27.75,51.8242,51.9425,151.31,0.6603,0.439854,0.002671,1.129599,0.245395,30.674547,2.75,45.755851,0.071154,2.1495,0.0236,3.400721,PASS,PROCESS_VARIATION,1,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,1.0,0.0
TST-0000005,LOT-005,WFR-005-01,DIE-R28C52,EQP-106,STN-02,1,0.0,-2,22,0.7364,1.1954,1.187,44.3442,144.1642,13.7308,4.3623,0.4713,2297.17,13.203,0.8468,0.4188,2.9901,34.45,48.346,48.5865,150.98,0.7241,0.394261,0.003251,1.090244,0.226471,30.329536,9.45,44.200036,0.059898,1.7245,0.021046,4.966457,PASS,THERMAL_ANOMALY,1,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,0.0,0.0
TST-0000006,LOT-006,WFR-006-01,DIE-R35C05,EQP-107,STN-03,1,0.0,5,-25,0.8498,1.1903,1.1899,43.9937,147.0184,12.9058,4.2243,0.4708,2417.92,12.5676,0.8594,0.4308,2.8651,29.15,53.4164,53.6159,146.0,0.7195,0.395531,0.003342,1.214183,0.227975,30.387451,4.15,43.846682,0.054518,1.5749,0.022092,4.285586,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,0.0,0.0
TST-0000008,LOT-008,WFR-008-01,DIE-R49C31,EQP-102,STN-01,1,0.0,19,1,0.6342,1.2052,1.1287,51.4785,137.9686,13.611,4.0314,0.4268,2611.74,12.1016,0.7933,0.4058,2.6985,32.72,78.7713,78.9018,151.43,0.7784,0.354132,0.00268,1.530179,0.222987,31.606233,7.72,51.340531,0.054871,1.4994,0.03016,4.514333,PASS,POWER_ANOMALY,1,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,1.0,0.0,0.0,0.0
TST-0000009,LOT-009,WFR-009-01,DIE-R56C44,EQP-103,STN-02,1,0.0,26,14,0.9843,1.1889,1.1697,41.0411,157.2924,12.7478,4.1811,0.4759,2276.19,13.7132,0.8461,0.4275,3.0089,27.69,49.6155,49.7665,151.14,0.713,0.400286,0.003833,1.208922,0.219416,31.213849,2.69,40.883808,0.0533,1.7353,0.021798,4.355427,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,1.0,0.0,0.0
TST-0000010,LOT-010,WFR-010-01,DIE-R03C57,EQP-104,STN-03,1,0.0,-27,27,1.0,1.1715,1.1591,49.1143,165.7534,13.239,4.3068,0.4904,2476.26,12.7631,0.8399,0.4287,2.363,27.41,55.3999,55.525,143.54,0.6811,0.418609,0.003375,1.127979,0.185143,31.604754,2.41,48.948547,0.057018,1.0944,0.022372,4.543301,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,1.0,0.0
TST-0000011,LOT-011,WFR-011-01,DIE-R10C10,EQP-106,STN-04,1,0.0,-20,-20,0.9428,1.2081,1.166,42.979,163.295,12.9451,4.1069,0.4579,2392.12,12.1606,0.8582,0.4411,3.7326,29.88,49.2537,49.5181,151.32,0.7502,0.379025,0.003799,1.145995,0.306942,29.089614,4.88,42.815705,0.053164,2.4333,0.02059,4.879255,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,0.0,0.0
TST-0000012,LOT-012,WFR-012-01,DIE-R17C23,EQP-107,STN-01,1,0.0,-13,-7,0.4922,1.1898,1.1724,43.3892,125.6288,13.13,4.2352,0.4445,2300.41,11.6952,0.8926,0.4391,4.801,28.37,48.9341,49.0703,149.75,0.7453,0.373592,0.002895,1.127794,0.41051,26.903755,3.37,43.263571,0.055608,3.4693,0.021272,3.564089,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,0.0,0.0
TST-0000013,LOT-013,WFR-013-01,DIE-R24C36,EQP-101,STN-02,1,0.0,-6,6,0.2828,1.2017,1.1662,43.5982,110.988,12.15,3.9772,0.4597,2456.73,12.69,0.8246,0.4234,2.7299,29.36,57.3561,57.4442,147.76,0.742,0.382541,0.002546,1.315561,0.215122,31.175904,4.36,43.487212,0.048323,1.4819,0.023347,3.258608,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,1.0,0.0,0.0,0.0,0.0
TST-0000014,LOT-014,WFR-014-01,DIE-R31C49,EQP-102,STN-03,1,0.0,1,19,0.6342,1.2261,1.1465,44.0384,140.4861,12.8814,4.3312,0.4907,2232.43,12.9928,0.7994,0.4037,4.0604,28.3,50.6148,50.8393,152.67,0.7354,0.400212,0.00319,1.149333,0.312512,29.005517,3.3,43.897914,0.055792,2.8573,0.022673,3.975757,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,1.0,0.0,0.0,0.0
TST-0000015,LOT-015,WFR-015-01,DIE-R38C02,EQP-103,STN-04,1,0.0,8,-28,0.9707,1.1917,1.1511,42.9478,186.7587,12.2646,4.2485,0.4671,2370.96,12.9753,0.8516,0.4364,3.2842,26.97,45.1257,45.3883,150.87,0.7246,0.391961,0.004349,1.05071,0.253112,30.763917,1.97,42.761041,0.052106,1.9962,0.019033,5.036882,PASS,NORMAL,0,0,1,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,1.0,0.0,0.0
TST-0000017,LOT-017,WFR-017-01,DIE-R52C28,EQP-106,STN-02,1,0.0,22,-2,0.7364,1.207,1.1862,41.3083,138.0592,14.5147,5.2978,0.3813,2400.8,11.8273,0.8287,0.4235,3.6094,36.99,64.2338,64.3931,156.18,0.8257,0.315907,0.003342,1.554985,0.305175,28.394982,11.99,41.170241,0.076896,2.3572,0.026755,5.10681,PASS,UNKNOWN_ANOMALY,1,1,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,0.0,0.0
TST-0000020,LOT-020,WFR-020-01,DIE-R13C07,EQP-102,STN-01,1,0.0,-17,-23,0.9534,1.0279,1.0294,44.623,182.4557,11.6976,4.2385,0.48,2176.82,14.259,0.834,0.4208,3.3892,28.66,53.9727,54.0896,155.17,0.5479,0.466971,0.004089,1.209526,0.237688,31.039276,3.66,44.440544,0.04958,2.1344,0.024794,5.22918,FAIL,LOW_VOLTAGE,1,0,1,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,1.0,0.0,0.0,0.0
TST-0000024,LOT-004,WFR-004-02,DIE-R41C59,EQP-107,STN-01,1,0.0,11,29,1.0,1.2001,1.1578,44.5366,164.5653,13.0491,4.3027,0.485,2367.21,12.9134,0.8499,0.4211,3.2118,29.4,46.9661,47.2174,147.49,0.7151,0.404133,0.003695,1.054551,0.248718,30.56873,4.4,44.372035,0.056146,1.9408,0.01984,4.83822,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,0.0,0.0
TST-0000025,LOT-005,WFR-005-02,DIE-R48C12,EQP-101,STN-02,1,0.0,18,-18,0.8485,1.1858,1.1491,45.4129,146.8128,13.7718,4.2428,0.4732,2327.46,13.4721,0.8575,0.4183,3.02,29.68,50.9932,51.2225,149.5,0.7126,0.399055,0.003233,1.122879,0.224167,31.355774,4.68,45.266087,0.058431,1.7442,0.021909,4.357404,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,1.0,0.0,0.0,0.0,0.0
