test_id,wafer_id,die_id,equipment_id,test_station,process_corner,supply_voltage,output_voltage,current,leakage_current,resistance,capacitance,threshold_voltage,frequency,propagation_delay,setup_time,hold_time,timing_margin,temperature,thermal_delta,dynamic_power,static_power,total_power,ambient_temperature,test_duration,test_cycle,result,defect_type
TST-000001,WFR-002,DIE-0814,EQP-101,STN-01,SS,1.1371,1.1137,43.1839,134.3918,12.4863,4.0914,0.4651,2137.73,13.9953,0.8231,0.4257,3.893,26.94,1.94,48.9199,0.15282,49.08046,25,148.81,3,PASS,NORMAL
TST-000002,WFR-003,DIE-1527,EQP-102,STN-04,TT,1.195,1.1722,43.6927,95.3216,12.495,4.1836,0.4667,2369.73,12.7114,0.8421,0.4375,3.3261,28.49,3.49,52.3295,0.11391,52.45866,25,149.11,2,PASS,NORMAL
TST-000003,WFR-004,DIE-2240,EQP-101,STN-03,TT,1.1913,1.1624,41.8701,126.4208,12.7885,4.2345,0.4359,2543.15,12.7009,0.7895,0.4205,2.2381,28.24,3.24,52.0863,0.15061,52.26166,25,152.19,3,PASS,NORMAL
TST-000004,WFR-005,DIE-2903,EQP-103,STN-03,TT,1.2043,1.1794,46.7693,121.8611,12.6951,4.3448,0.4447,2484.27,12.8627,0.8342,0.4016,2.4044,28.62,3.62,53.6274,0.14676,53.84803,25,147.31,3,PASS,NORMAL
TST-000005,WFR-006,DIE-3616,EQP-104,STN-03,FS,1.208,1.1936,44.5972,150.9481,12.7483,4.19,0.4533,2506.1,11.9537,0.8422,0.4261,3.1652,27.7,2.7,55.8218,0.18235,56.00322,25,148.6,2,PASS,NORMAL
TST-000006,WFR-007,DIE-4329,EQP-104,STN-01,TT,1.2018,1.1887,45.1425,151.2251,12.1418,4.2613,0.4375,2549.91,12.3457,0.8027,0.3826,2.5384,27.35,2.35,51.0754,0.18174,51.2385,25,152.48,3,PASS,NORMAL
TST-000007,WFR-008,DIE-5042,EQP-102,STN-01,TT,1.1761,1.1539,46.6402,106.0298,11.9419,4.1877,0.4552,2388.84,13.0681,0.8034,0.4261,2.873,27.94,2.94,48.9878,0.1247,49.1554,25,145.9,5,PASS,NORMAL
TST-000008,WFR-009,DIE-0705,EQP-105,STN-02,FS,1.1961,1.1729,45.9497,131.0557,12.2637,4.3458,0.4624,2451.11,12.8049,0.8799,0.4222,2.6343,28.19,3.19,52.7926,0.15676,52.93496,25,157.34,3,PASS,NORMAL
TST-000009,WFR-010,DIE-1418,EQP-102,STN-02,FS,1.1993,1.179,44.1792,137.2896,12.4081,4.0783,0.4423,2501.55,11.74,0.9008,0.4387,3.3493,27.61,2.61,51.3852,0.16465,51.51619,25,160.01,4,PASS,NORMAL
TST-000010,WFR-011,DIE-2131,EQP-104,STN-03,TT,1.1892,1.17,46.8058,115.051,12.1677,4.1229,0.4626,2348.82,12.7397,0.8226,0.4312,3.4675,29.8,4.8,56.4098,0.13682,56.57468,25,148.47,3,PASS,NORMAL
TST-000011,WFR-012,DIE-2844,EQP-102,STN-04,SF,1.2255,1.2018,45.65,116.6119,12.7664,4.3205,0.4472,2534.34,12.63,0.8045,0.4219,2.3487,26.25,1.25,52.2561,0.14291,52.42872,25,150.17,1,PASS,NORMAL
TST-000012,WFR-013,DIE-3507,EQP-105,STN-04,TT,1.2149,1.2012,46.4112,128.5045,12.819,4.333,0.4465,2566.09,11.4966,0.8827,0.4287,3.2086,28.21,3.21,54.3677,0.15612,54.4619,25,145.07,5,PASS,NORMAL
TST-000013,WFR-014,DIE-4220,EQP-102,STN-03,SS,1.2097,1.1893,49.2046,131.0104,13.1662,4.1624,0.4605,2344.23,13.3171,0.8945,0.4064,2.8516,32.67,7.67,68.1201,0.15848,68.27377,25,148.5,5,FAIL,POWER_ANOMALY
TST-000014,WFR-015,DIE-4933,EQP-102,STN-04,TT,1.184,1.1652,42.4188,126.6917,12.7256,4.2718,0.4633,2456.11,13.0862,0.8395,0.4009,2.3602,28.02,3.02,52.0203,0.15,52.11663,25,155.18,5,PASS,NORMAL
TST-000015,WFR-016,DIE-0646,EQP-105,STN-01,FS,1.2,1.1856,41.2439,118.215,12.0549,4.1371,0.4681,2454.05,12.915,0.85,0.4154,2.5346,25.74,0.74,55.8944,0.14186,56.08584,25,152.62,4,PASS,NORMAL
TST-000016,WFR-017,DIE-1309,EQP-101,STN-01,SS,1.1832,1.17,42.4704,127.81,12.8098,4.4158,0.5032,2177.86,13.8264,0.8965,0.4014,3.6438,25.89,0.89,49.5144,0.15122,49.70862,25,141.23,2,FAIL,PROCESS_VARIATION
TST-000017,WFR-018,DIE-2022,EQP-103,STN-04,SS,1.2339,1.2177,47.6193,115.8995,12.6908,4.3079,0.4815,2392.46,12.6517,0.8389,0.4168,3.2286,27.6,2.6,56.769,0.14301,56.95471,25,154.19,2,PASS,NORMAL
TST-000018,WFR-019,DIE-2735,EQP-105,STN-04,SF,1.1898,1.1672,42.3344,130.9434,12.5597,4.0198,0.4581,2441.75,12.9673,0.8637,0.4306,2.5507,28.99,3.99,56.7989,0.1558,56.96277,25,143.79,2,PASS,NORMAL
TST-000019,WFR-020,DIE-3448,EQP-105,STN-02,TT,1.1779,1.1572,43.741,141.6438,12.6014,4.2948,0.4538,2338.55,12.8624,0.8345,0.4066,3.4077,28.64,3.64,54.019,0.16684,54.12633,25,148.99,3,PASS,NORMAL
TST-000020,WFR-021,DIE-4111,EQP-102,STN-01,SF,1.1897,1.1775,45.7056,117.6661,12.5148,4.3045,0.4588,2413.02,12.9751,0.926,0.4038,2.6756,27.63,2.63,50.4442,0.13999,50.52339,25,155.32,3,PASS,NORMAL
TST-000021,WFR-022,DIE-4824,EQP-105,STN-02,SS,1.2055,1.1857,46.5811,127.7298,12.3045,4.2442,0.4534,2469.05,12.7874,0.8159,0.4309,2.5973,27.34,2.34,57.2373,0.15398,57.37837,25,167.52,3,PASS,NORMAL
TST-000022,WFR-023,DIE-0537,EQP-103,STN-03,FF,1.2039,1.1731,50.9938,265.1447,12.3697,4.3415,0.4638,2642.45,11.9155,0.855,0.4054,2.367,34.33,9.33,50.5893,0.31921,50.85784,25,142.52,4,FAIL,HIGH_LEAKAGE
