test_id,lot_id,wafer_id,die_id,equipment_id,test_station,test_cycle,burn_in_hour,die_row,die_col,r_norm,supply_voltage,output_voltage,current,leakage_current,resistance,capacitance,threshold_voltage,frequency,propagation_delay,setup_time,hold_time,timing_margin,temperature,dynamic_power,total_power,test_duration,voltage_headroom,voltage_utilization,leakage_fraction,power_per_current,normalized_timing_margin,frequency_delay_product,thermal_delta,effective_drive_current,rc_delay,timing_slack,dynamic_power_per_freq,leakage_temperature_interaction,result,defect_type,is_anomaly,is_unknown_anomaly,is_borderline,is_latent,dataset_version,generator_version,source_type
TST-0000001,LOT-001,WFR-001-01,DIE-R00C00,EQP-101,STN-02,1,0.0,-30,-30,1.0,1.2176,1.1818,41.3183,158.1092,12.2117,4.2335,0.5222,1985.68,14.0987,0.7985,0.415,4.8206,31.54,45.2704,45.4746,147.01,0.6954,0.428876,0.003827,1.09565,0.341918,27.995507,6.54,41.160191,0.051698,3.6071,0.022798,4.986764,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000002,LOT-002,WFR-002-01,DIE-R07C13,EQP-102,STN-03,1,0.0,-23,-17,0.9534,1.1907,1.1762,51.1471,186.893,12.6693,3.9634,0.4336,2998.4,11.5745,0.8052,0.4194,0.9116,27.73,63.1473,63.2633,144.34,0.7571,0.364156,0.003654,1.234621,0.078759,34.704981,2.73,50.960207,0.050214,-0.313,0.02106,5.182543,FAIL,NORMAL,0,0,1,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000003,LOT-003,WFR-003-01,DIE-R14C26,EQP-103,STN-04,1,0.0,-16,-4,0.5497,1.1935,1.1677,42.7784,131.9385,13.4995,4.3381,0.46,2396.9,12.3318,0.9069,0.3825,3.0089,28.78,50.0574,50.2582,144.93,0.7335,0.385421,0.003084,1.170156,0.243995,29.558091,3.78,42.646462,0.058562,1.7195,0.020884,3.79719,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000004,LOT-004,WFR-004-01,DIE-R21C39,EQP-104,STN-01,1,0.0,-9,9,0.4243,1.1991,1.1833,40.9689,111.9983,11.5784,4.0725,0.485,2124.19,13.0328,0.8336,0.4132,4.7642,28.17,47.615,47.7221,150.53,0.7141,0.40447,0.002734,1.162223,0.365555,27.684143,3.17,40.856902,0.047153,3.5174,0.022416,3.154992,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000005,LOT-005,WFR-005-01,DIE-R28C52,EQP-105,STN-02,1,0.0,-2,22,0.7364,1.2125,1.1791,42.7918,130.8702,13.0459,4.1101,0.4405,2298.63,12.5495,0.8556,0.4213,3.7659,28.99,51.6966,51.9138,150.49,0.772,0.363299,0.003058,1.208096,0.300084,28.846657,3.99,42.66093,0.05362,2.489,0.02249,3.793927,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000006,LOT-006,WFR-006-01,DIE-R35C05,EQP-106,STN-03,1,0.0,5,-25,0.8498,1.2133,1.1664,41.4617,150.0926,12.657,4.2086,0.4688,2145.25,13.019,0.7981,0.4213,4.4619,28.85,49.1822,49.3342,152.37,0.7445,0.386384,0.00362,1.186208,0.342722,27.92901,3.85,41.311607,0.053268,3.2425,0.022926,4.330172,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000007,LOT-007,WFR-007-01,DIE-R42C18,EQP-107,STN-04,1,0.0,12,-12,0.5657,1.1854,1.1581,47.1042,129.1759,13.824,4.1177,0.5227,2224.34,14.1165,0.8086,0.4114,3.3172,27.33,49.5664,49.747,146.72,0.6627,0.440948,0.002742,1.052271,0.234987,31.399896,2.33,46.975024,0.056923,2.0972,0.022284,3.530377,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000008,LOT-008,WFR-008-01,DIE-R49C31,EQP-101,STN-01,1,0.0,19,1,0.6342,1.1895,1.1879,42.7073,114.0576,13.1567,4.0115,0.461,2434.57,12.9788,0.8683,0.3944,2.6534,29.45,49.3681,49.6194,153.42,0.7285,0.387558,0.002671,1.155964,0.204441,31.597797,4.45,42.593242,0.052778,1.3907,0.020278,3.358996,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000009,LOT-009,WFR-009-01,DIE-R56C44,EQP-102,STN-02,1,0.0,26,14,0.9843,1.193,1.1853,42.7639,207.7905,12.9253,4.0074,0.4712,2297.94,13.2151,0.8549,0.4303,2.947,29.09,51.8436,52.0774,152.86,0.7218,0.394971,0.004859,1.212322,0.223002,30.367507,4.09,42.556109,0.051797,1.6618,0.022561,6.044626,PASS,NORMAL,0,0,1,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000010,LOT-010,WFR-010-01,DIE-R03C57,EQP-103,STN-03,1,0.0,-27,27,1.0,1.1554,1.1935,48.3313,170.3169,14.6832,4.3016,0.5068,2395.13,13.8625,0.8338,0.4018,1.8855,29.93,51.2069,51.3237,146.33,0.6486,0.438636,0.003524,1.059498,0.136014,33.20249,4.93,48.160983,0.063161,0.6499,0.02138,5.097585,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000011,LOT-011,WFR-011-01,DIE-R10C10,EQP-104,STN-04,1,0.0,-20,-20,0.9428,1.1751,1.1576,45.0028,154.3537,12.8552,4.0285,0.4529,2470.59,12.5543,0.8342,0.4267,2.6163,29.08,57.494,57.7024,150.44,0.7222,0.385414,0.00343,1.277565,0.208399,31.016528,4.08,44.848446,0.051787,1.3554,0.023271,4.488606,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000012,LOT-012,WFR-012-01,DIE-R17C23,EQP-105,STN-01,1,0.0,-13,-7,0.4922,1.2119,1.1808,48.8652,171.0457,12.049,4.1094,0.424,2585.65,11.2575,0.8464,0.4062,3.3551,32.14,78.4613,78.6027,149.99,0.7879,0.349864,0.0035,1.605668,0.298032,29.107955,7.14,48.694154,0.049514,2.1025,0.030345,5.497409,PASS,POWER_ANOMALY,1,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000013,LOT-013,WFR-013-01,DIE-R24C36,EQP-106,STN-02,1,0.0,-6,6,0.2828,1.2278,1.1747,50.5341,131.8759,13.0994,4.1861,0.4312,2832.31,11.9122,0.8293,0.4339,1.3376,28.53,61.995,62.1305,154.87,0.7966,0.351197,0.00261,1.226795,0.112288,33.739043,3.53,50.402224,0.054835,0.0744,0.021888,3.762419,PASS,NORMAL,0,0,1,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000014,LOT-014,WFR-014-01,DIE-R31C49,EQP-107,STN-03,1,0.0,1,19,0.6342,1.2061,1.1719,49.6053,90.5472,11.256,4.3496,0.4235,2850.77,12.1605,0.8621,0.4248,1.147,27.39,64.7253,64.8147,147.47,0.7826,0.351132,0.001825,1.304806,0.094322,34.666789,2.39,49.514753,0.048959,-0.1399,0.022704,2.480088,FAIL,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000015,LOT-015,WFR-015-01,DIE-R38C02,EQP-101,STN-04,1,0.0,8,-28,0.9707,1.2226,1.1463,50.4075,173.3396,14.5799,3.9654,0.466,2746.07,13.0874,0.8551,0.4061,0.917,28.46,58.6918,58.8339,150.74,0.7566,0.381155,0.003439,1.164347,0.070067,35.938917,3.46,50.23416,0.057815,-0.3442,0.021373,4.933245,FAIL,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000016,LOT-016,WFR-016-01,DIE-R45C15,EQP-102,STN-01,1,0.0,15,-15,0.7071,1.2036,1.1831,50.3884,110.8232,12.6412,4.0381,0.4761,2630.62,12.7036,0.9008,0.4259,1.3845,26.54,60.8743,61.0403,147.96,0.7275,0.395563,0.002199,1.208101,0.108985,33.418344,1.54,50.277577,0.051046,0.0578,0.023141,2.941248,PASS,NORMAL,0,0,1,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000017,LOT-017,WFR-017-01,DIE-R52C28,EQP-103,STN-02,1,0.0,22,-2,0.7364,1.19,1.1787,44.7386,117.578,12.3712,4.137,0.4195,2632.44,11.9915,0.8333,0.4004,2.1603,29.17,60.6031,60.7719,151.21,0.7705,0.352521,0.002628,1.354604,0.180153,31.566904,4.17,44.621022,0.05118,0.9266,0.023022,3.42975,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000018,LOT-018,WFR-018-01,DIE-R59C41,EQP-104,STN-03,1,0.0,29,11,1.0,1.1957,1.1575,48.261,202.9255,13.7854,4.4823,0.4437,2748.36,11.7437,0.8601,0.4107,1.6793,28.29,61.55,61.7613,146.89,0.752,0.37108,0.004205,1.275357,0.142996,32.275915,3.29,48.058075,0.06179,0.4085,0.022395,5.740762,PASS,NORMAL,0,0,1,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000019,LOT-019,WFR-019-01,DIE-R06C54,EQP-105,STN-04,1,0.0,-24,24,1.0,1.1141,1.0987,41.7993,180.8231,12.3485,3.991,0.4741,2006.47,13.2894,0.8225,0.4247,5.7305,28.12,46.0279,46.2892,148.93,0.64,0.425545,0.004326,1.101164,0.431208,26.664782,3.12,41.618477,0.049283,4.4833,0.02294,5.084746,PASS,LOW_VOLTAGE,1,0,1,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000020,LOT-020,WFR-020-01,DIE-R13C07,EQP-106,STN-01,1,0.0,-17,-23,0.9534,1.1977,1.1944,53.0345,194.4175,12.2835,4.3855,0.4512,2908.62,12.4785,0.8907,0.4234,0.5565,28.33,60.0386,60.2661,146.59,0.7465,0.376722,0.003666,1.132067,0.044597,36.295215,3.33,52.840083,0.053869,-0.7576,0.020642,5.507848,FAIL,NORMAL,0,0,1,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000021,LOT-001,WFR-001-02,DIE-R20C20,EQP-107,STN-02,1,0.0,-10,-10,0.4714,1.2093,1.1953,42.4029,90.6425,11.5288,4.2689,0.4764,2158.2,12.7908,0.8194,0.4091,4.7576,27.4,47.8771,47.9756,145.86,0.7329,0.393947,0.002138,1.1291,0.371955,27.605105,2.4,42.312258,0.049215,3.5291,0.022184,2.483604,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000022,LOT-002,WFR-002-02,DIE-R27C33,EQP-101,STN-03,1,0.0,-3,3,0.1414,1.1913,1.1399,50.8839,186.3775,13.0704,3.9892,0.4079,3064.81,12.2014,0.8666,0.4223,-0.085,45.77,67.1771,67.4699,144.99,0.7834,0.342399,0.003663,1.320203,-0.006966,37.394973,20.77,50.697522,0.05214,-1.3739,0.021919,8.530498,FAIL,THERMAL_ANOMALY,1,0,1,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000023,LOT-003,WFR-003-02,DIE-R34C46,EQP-102,STN-04,1,0.0,4,16,0.5497,1.2145,1.1614,42.2232,135.4361,13.6075,4.1226,0.4528,2465.35,13.1369,0.816,0.4387,2.8121,28.17,53.3409,53.3991,151.29,0.7617,0.372828,0.003208,1.263308,0.214061,32.387056,3.17,42.087764,0.056098,1.5574,0.021636,3.815235,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000024,LOT-004,WFR-004-02,DIE-R41C59,EQP-103,STN-01,1,0.0,11,29,1.0,1.1953,1.1689,39.5578,149.6362,11.5299,4.0492,0.5126,2034.58,13.7681,0.9012,0.4251,4.9446,29.62,39.8793,40.159,153.25,0.6827,0.428846,0.003783,1.008127,0.359135,28.012301,4.62,39.408164,0.046687,3.6183,0.019601,4.432224,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000025,LOT-005,WFR-005-02,DIE-R48C12,EQP-104,STN-02,1,0.0,18,-18,0.8485,1.2312,1.1816,43.2583,126.1353,13.5566,4.0426,0.4566,2145.96,11.8964,0.8353,0.4126,5.1614,26.59,47.6646,47.8056,150.18,0.7746,0.370858,0.002916,1.10186,0.433862,25.529199,1.59,43.132165,0.054804,3.9135,0.022211,3.353938,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000026,LOT-006,WFR-006-02,DIE-R55C25,EQP-105,STN-03,1,0.0,25,-5,0.8498,1.2071,1.1888,40.8876,132.0886,13.0467,4.1601,0.4724,2188.85,12.3905,0.8766,0.4496,4.738,28.79,45.2574,45.3231,150.96,0.7347,0.391351,0.003231,1.106873,0.38239,27.120946,3.79,40.755511,0.054276,3.4118,0.020676,3.802831,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000027,LOT-007,WFR-007-02,DIE-R02C38,EQP-106,STN-04,1,0.0,-28,8,0.9707,1.2033,1.1901,46.9625,188.0009,14.3245,4.2003,0.5364,2229.1,13.9987,0.8579,0.4373,3.2591,29.11,47.169,47.4164,148.51,0.6669,0.445774,0.004003,1.004397,0.232814,31.204502,4.11,46.774499,0.060167,1.9639,0.021161,5.472706,PASS,NORMAL,0,0,1,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000028,LOT-008,WFR-008-02,DIE-R09C51,EQP-107,STN-01,1,0.0,-21,21,0.9899,1.2075,1.1618,43.9394,156.5124,14.1353,4.0809,0.4915,2311.1,13.2869,0.8788,0.4447,3.1921,27.93,51.6944,51.8992,144.97,0.716,0.407039,0.003562,1.176493,0.240244,30.707355,2.93,43.782888,0.057685,1.8686,0.022368,4.371391,PASS,EQUIPMENT_DRIFT,1,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000029,LOT-009,WFR-009-02,DIE-R16C04,EQP-101,STN-02,1,0.0,-14,-26,0.9843,1.2069,1.17,44.4135,194.2314,12.7894,3.9951,0.456,2401.76,12.6225,0.8768,0.4053,3.2906,30.12,49.2171,49.4383,149.2,0.7509,0.377827,0.004373,1.108156,0.260693,30.316216,5.12,44.219269,0.051095,2.0085,0.020492,5.85025,PASS,NORMAL,0,0,1,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000030,LOT-010,WFR-010-02,DIE-R23C17,EQP-102,STN-03,1,0.0,-7,-13,0.4922,1.2195,1.1684,49.4602,131.6916,14.3845,4.2777,0.494,2395.28,13.5991,0.8184,0.4281,2.2825,30.75,49.4517,49.6608,155.03,0.7255,0.405084,0.002663,0.999828,0.167842,32.573652,5.75,49.328508,0.061533,1.036,0.020645,4.049517,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000031,LOT-011,WFR-011-02,DIE-R30C30,EQP-103,STN-04,1,0.0,0,0,0.0,1.1978,1.176,45.0798,123.5112,12.5829,3.9988,0.4363,2553.61,12.1252,0.8659,0.4165,2.7196,28.32,56.9562,57.0966,149.7,0.7615,0.364251,0.00274,1.263453,0.224293,30.963032,3.32,44.956289,0.050317,1.4372,0.022304,3.497837,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000032,LOT-012,WFR-012-02,DIE-R37C43,EQP-104,STN-01,1,0.0,7,13,0.4922,1.2442,1.1657,43.7842,136.8095,11.5593,4.1975,0.4186,2570.78,11.8409,0.821,0.4127,3.3186,27.83,54.1246,54.3403,154.55,0.8256,0.336441,0.003125,1.236167,0.280266,30.440349,2.83,43.647391,0.04852,2.0849,0.021054,3.807408,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000033,LOT-013,WFR-013-02,DIE-R44C56,EQP-105,STN-02,1,0.0,14,26,0.9843,1.2025,1.1837,47.3641,165.1196,13.2027,4.166,0.4498,2728.95,12.24,0.8821,0.4314,1.6386,29.08,60.9769,61.1237,159.7,0.7527,0.374054,0.003486,1.287408,0.133873,33.402348,4.08,47.19898,0.055002,0.3251,0.022344,4.801678,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000034,LOT-014,WFR-014-02,DIE-R51C09,EQP-106,STN-03,1,0.0,21,-21,0.9899,1.2197,1.189,47.6454,143.3075,10.9812,4.3246,0.4615,2725.36,12.4466,0.889,0.4049,1.3676,28.87,62.6488,62.7555,150.26,0.7582,0.378372,0.003008,1.314897,0.109877,33.921466,3.87,47.502093,0.047489,0.0737,0.022987,4.137288,PASS,NORMAL,0,0,1,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000035,LOT-015,WFR-015-02,DIE-R58C22,EQP-107,STN-04,1,0.0,28,-8,0.9707,1.2112,1.197,49.7348,151.7373,14.3463,4.4456,0.4515,2865.28,12.6417,0.8569,0.4034,0.4828,27.87,64.1894,64.3712,153.13,0.7597,0.372771,0.003051,1.290634,0.038191,36.22201,2.87,49.583063,0.063778,-0.7775,0.022402,4.228919,FAIL,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000036,LOT-016,WFR-016-02,DIE-R05C35,EQP-101,STN-01,1,0.0,-25,5,0.8498,1.1694,1.1628,60.0797,118.1785,12.2425,4.0283,0.471,2681.71,13.6581,0.831,0.4307,0.6727,38.21,82.04,82.1846,149.55,0.6984,0.402771,0.001967,1.365519,0.049253,36.627063,13.21,59.961522,0.049316,-0.589,0.030592,4.5156,FAIL,POWER_ANOMALY,1,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000037,LOT-017,WFR-017-02,DIE-R12C48,EQP-102,STN-02,1,0.0,-18,18,0.8485,1.1924,1.1985,46.5484,124.521,12.7736,4.2647,0.4542,2461.81,12.6149,0.8397,0.4369,2.3861,28.14,53.0802,53.2976,151.13,0.7382,0.380912,0.002675,1.140323,0.189149,31.055487,3.14,46.423879,0.054476,1.1095,0.021561,3.504021,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000038,LOT-018,WFR-018-02,DIE-R19C01,EQP-103,STN-03,1,0.0,-11,-29,1.0,1.2105,1.1867,49.3313,182.9088,13.5762,4.3785,0.4449,2722.6,11.7745,0.8376,0.3889,2.0753,27.67,60.3582,60.6199,146.85,0.7656,0.367534,0.003708,1.223527,0.176254,32.057254,2.67,49.148391,0.059443,0.8488,0.022169,5.061086,PASS,NORMAL,0,0,1,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000039,LOT-019,WFR-019-02,DIE-R26C14,EQP-104,STN-04,1,0.0,-4,-16,0.5497,1.2068,1.1921,41.0086,125.1393,12.0371,3.9866,0.4744,2152.08,12.516,0.8414,0.4317,5.3598,28.15,44.4782,44.5956,152.9,0.7324,0.393106,0.003052,1.084607,0.428236,26.935433,3.15,40.883461,0.047987,4.0867,0.020668,3.522671,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000040,LOT-020,WFR-020-02,DIE-R33C27,EQP-105,STN-01,1,0.0,3,-3,0.1414,1.2024,1.1932,51.9476,159.0286,11.9363,4.4118,0.4336,3028.18,11.7546,0.8887,0.4044,0.1798,32.98,68.7272,69.0084,145.52,0.7688,0.360612,0.003061,1.32301,0.015296,35.595045,7.98,51.788571,0.052661,-1.1133,0.022696,5.244763,FAIL,THERMAL_ANOMALY,1,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000041,LOT-001,WFR-001-03,DIE-R40C40,EQP-106,STN-02,1,0.0,10,10,0.4714,1.2077,1.1895,39.5303,113.2074,12.0507,4.2562,0.4866,2149.17,13.0513,0.8295,0.4308,4.7718,28.17,46.8726,47.0878,149.8,0.7211,0.402915,0.002864,1.185739,0.365619,28.049462,3.17,39.417093,0.05129,3.5115,0.02181,3.189052,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000042,LOT-002,WFR-002-03,DIE-R47C53,EQP-107,STN-03,1,0.0,17,23,0.9534,1.1983,1.1828,64.0517,163.1826,12.7154,4.0398,0.444,2882.6,12.6159,0.8506,0.3949,0.3824,32.84,76.3958,76.4854,151.29,0.7543,0.370525,0.002548,1.192721,0.030311,36.366593,7.84,63.888517,0.051368,-0.8631,0.026502,5.358917,FAIL,POWER_ANOMALY,1,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000043,LOT-003,WFR-003-03,DIE-R54C06,EQP-101,STN-04,1,0.0,24,-24,1.0,1.201,1.1774,44.2896,149.0362,13.3428,4.1058,0.4762,2304.74,13.605,0.8402,0.4029,2.835,30.76,48.4161,48.5012,151.7,0.7248,0.396503,0.003365,1.093171,0.208379,31.355988,5.76,44.140564,0.054783,1.5919,0.021007,4.584354,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000044,LOT-004,WFR-004-03,DIE-R01C19,EQP-102,STN-01,1,0.0,-29,-11,1.0,1.2026,1.1984,41.2267,161.954,11.5537,4.0861,0.5192,2032.07,13.4021,0.7945,0.4366,5.4492,29.72,44.3682,44.5138,151.16,0.6834,0.431731,0.003928,1.076201,0.406593,27.234005,4.72,41.064746,0.04721,4.2181,0.021834,4.813273,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
