test_id,lot_id,wafer_id,die_id,equipment_id,test_station,test_cycle,burn_in_hour,die_row,die_col,r_norm,supply_voltage,output_voltage,current,leakage_current,resistance,capacitance,threshold_voltage,frequency,propagation_delay,setup_time,hold_time,timing_margin,temperature,dynamic_power,total_power,test_duration,voltage_headroom,voltage_utilization,leakage_fraction,power_per_current,normalized_timing_margin,frequency_delay_product,thermal_delta,effective_drive_current,rc_delay,timing_slack,dynamic_power_per_freq,leakage_temperature_interaction,result,defect_type,is_anomaly,is_unknown_anomaly,is_borderline,is_latent,dataset_version,generator_version,source_type
TST-0000001,LOT-001,WFR-001-01,DIE-R00C00,EQP-105,STN-02,1,0.0,-30,-30,1.0,1.1848,1.1723,48.5251,222.993,11.9814,4.3585,0.4638,2538.83,12.7191,0.8574,0.4375,2.0222,33.75,54.4057,54.6367,150.58,0.721,0.391458,0.004595,1.121187,0.158989,32.291633,8.75,48.302107,0.052221,0.7273,0.021429,7.526014,FAIL,THERMAL_ANOMALY,1,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000002,LOT-002,WFR-002-01,DIE-R07C13,EQP-105,STN-03,1,0.0,-23,-17,0.9534,1.2435,1.1734,44.9926,163.8233,11.8427,4.1707,0.4837,2359.44,12.5454,0.8263,0.4002,3.7473,25.86,50.0818,50.3902,151.67,0.7598,0.388983,0.003641,1.113112,0.298699,29.600119,0.86,44.828777,0.049392,2.5208,0.021226,4.236471,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000003,LOT-003,WFR-003-01,DIE-R14C26,EQP-105,STN-04,1,0.0,-16,-4,0.5497,1.1963,1.2011,46.2759,102.6703,12.441,4.5407,0.4671,2316.56,15.7053,0.9749,0.4346,0.6642,26.93,52.2274,52.3232,148.95,0.7292,0.390454,0.002219,1.128609,0.042291,36.38227,1.93,46.17323,0.056491,-0.7453,0.022545,2.764911,FAIL,TIMING_FAILURE,1,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000004,LOT-004,WFR-004-01,DIE-R21C39,EQP-105,STN-01,1,0.0,-9,9,0.4243,1.187,1.1679,44.8511,111.2618,13.3014,4.0311,0.4685,2425.6,12.2842,0.8803,0.4198,3.274,27.46,52.3713,52.4785,144.48,0.7185,0.394693,0.002481,1.16767,0.266521,29.796556,2.46,44.739838,0.053619,1.9739,0.021591,3.055249,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000005,LOT-005,WFR-005-01,DIE-R28C52,EQP-105,STN-02,1,0.0,-2,22,0.7364,1.2145,1.1605,45.5608,95.4394,12.0445,4.1654,0.419,2524.49,11.1539,0.8807,0.4233,3.6002,24.9,55.8932,55.9847,146.11,0.7955,0.344998,0.002095,1.226783,0.322775,28.157909,-0.1,45.465361,0.05017,2.2962,0.02214,2.376441,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000006,LOT-006,WFR-006-01,DIE-R35C05,EQP-105,STN-03,1,0.0,5,-25,0.8498,1.2124,1.15,41.7506,124.0669,12.6786,4.1809,0.4782,2331.0,12.4759,0.8216,0.4321,3.9776,27.07,51.9143,52.0046,153.63,0.7342,0.394424,0.002972,1.243438,0.318823,29.081323,2.07,41.626533,0.053008,2.7239,0.022271,3.358491,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000007,LOT-007,WFR-007-01,DIE-R42C18,EQP-105,STN-04,1,0.0,12,-12,0.5657,1.2037,1.1622,45.2307,138.2759,12.9891,3.8683,0.4122,2603.04,11.7828,0.8527,0.4322,2.6009,26.54,55.7666,55.9012,149.71,0.7915,0.342444,0.003057,1.232937,0.220737,30.6711,1.54,45.092424,0.050246,1.316,0.021424,3.669842,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000008,LOT-008,WFR-008-01,DIE-R49C31,EQP-105,STN-01,1,0.0,19,1,0.6342,1.1958,1.2011,45.8413,125.5916,12.5921,3.9969,0.4631,2370.96,12.6896,0.863,0.4387,3.2018,26.78,51.2949,51.4178,148.64,0.7327,0.387272,0.00274,1.118967,0.252317,30.086534,1.78,45.715708,0.050329,1.9001,0.021635,3.363343,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000009,LOT-009,WFR-009-01,DIE-R56C44,EQP-105,STN-02,1,0.0,26,14,0.9843,1.2083,1.1356,45.7543,144.5528,13.2821,4.2229,0.4585,2346.47,12.862,0.8674,0.4155,2.7994,27.55,52.5574,52.7313,141.73,0.7498,0.379459,0.003159,1.148688,0.217649,30.180297,2.55,45.609747,0.056089,1.5165,0.022398,3.98243,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000010,LOT-010,WFR-010-01,DIE-R03C57,EQP-105,STN-03,1,0.0,-27,27,1.0,1.2049,1.1955,43.7162,162.6435,12.7218,3.9,0.4567,2433.74,12.5838,0.8291,0.4286,2.7841,26.61,55.115,55.3012,152.95,0.7482,0.379036,0.00372,1.260745,0.221245,30.625697,1.61,43.553556,0.049615,1.5264,0.022646,4.327944,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
