test_id,wafer_id,equipment_id,supply_voltage,output_voltage,current,leakage_current,resistance,capacitance,threshold_voltage,frequency,propagation_delay,setup_time,hold_time,timing_margin,temperature,thermal_delta,dynamic_power,static_power,total_power,test_duration,result,defect_type,severity
RS-TST-000001,WFR-V2-001,EQP-102,1.1841,1.1569,44.5642,138.6512,12.2949,4.0314,0.4637,2389.79,14.2625,0.8542,0.415,1.6212,28.39,3.39,50.1847,0.16418,50.38385,155.96,FAIL,NORMAL,0
RS-TST-000002,WFR-V2-002,EQP-102,1.1759,1.1541,42.475,111.9203,12.3093,4.0627,0.4464,2411.4,13.5389,0.8369,0.4229,2.212,27.35,2.35,49.2843,0.13161,49.46869,149.78,PASS,NORMAL,0
RS-TST-000003,WFR-V2-003,EQP-101,1.1999,1.181,42.2271,137.845,13.0905,3.8708,0.4506,2504.53,12.4354,0.8831,0.4195,2.6526,26.34,1.34,54.8462,0.1654,55.06314,148.98,PASS,NORMAL,0
RS-TST-000004,WFR-V2-004,EQP-101,1.2229,1.2075,45.9836,129.3631,12.9167,4.1088,0.458,2590.52,11.9975,0.8719,0.4067,2.5715,28.99,3.99,57.4867,0.1582,57.54538,150.15,PASS,NORMAL,0
RS-TST-000005,WFR-V2-005,EQP-104,1.1984,1.1786,45.2569,121.7157,12.1921,4.2442,0.4291,2563.93,12.2303,0.809,0.4019,2.5618,27.54,2.54,50.1296,0.14587,50.29534,149.93,PASS,NORMAL,0
RS-TST-000006,WFR-V2-006,EQP-102,1.2075,1.1909,45.7057,139.8665,12.2009,4.1546,0.4457,2506.63,12.5548,0.8543,0.4081,2.5486,28.27,3.27,52.9596,0.16889,53.12049,151.98,PASS,NORMAL,0
RS-TST-000007,WFR-V2-007,EQP-105,1.2057,1.1834,45.4592,118.686,12.1814,3.8862,0.4609,2510.56,13.0321,0.8651,0.4042,2.0355,28.61,3.61,52.3283,0.1431,52.57574,146.48,PASS,NORMAL,0
RS-TST-000008,WFR-V2-008,EQP-105,1.224,1.1993,43.6602,130.7315,12.1581,3.9057,0.4551,2599.09,12.613,0.8816,0.423,1.8953,28.7,3.7,53.0265,0.16001,53.1617,159.54,PASS,NORMAL,0
RS-TST-000009,WFR-V2-009,EQP-104,1.2205,1.1963,47.2256,163.4795,12.4138,4.0544,0.4507,2648.56,11.4881,0.8423,0.4144,2.7723,32.79,7.79,53.3055,0.19953,53.41932,146.63,PASS,HIGH_LEAKAGE,0.7263
RS-TST-000010,WFR-V2-010,EQP-105,1.1891,1.166,43.1653,139.6798,12.2603,4.0718,0.424,2519.04,12.245,0.8738,0.3868,2.7603,28.04,3.04,51.8464,0.1661,52.01268,146.03,PASS,NORMAL,0
